dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
1717200000,2,185.25,0.0,5.14,65.8,2.53,5.8,6.45,0.23
1717203600,2,181.91,0.0,4.76,62.23,2.44,5.72,6.34,0.22
1717207200,2,178.58,0.0,4.54,61.51,2.53,5.51,6.16,0.23
1717210800,2,178.58,0.01,4.54,65.09,2.74,5.23,5.94,0.26
1717214400,2,180.24,0.16,4.54,68.66,3.04,4.93,5.66,0.33
1717218000,2,183.58,0.59,5.4,65.8,3.78,4.73,5.49,0.54
1717221600,2,190.26,1.37,6.68,62.23,4.89,4.58,5.41,0.8
1717225200,2,190.26,1.63,6.68,67.23,5.42,4.45,5.34,0.85
1717228800,2,185.25,1.37,5.44,72.24,5.19,4.54,5.44,0.79
1717232400,2,180.24,1.05,4.41,80.11,4.77,4.79,5.65,0.68
1717236000,2,181.91,0.26,2.78,97.27,2.5,4.0,4.56,0.4
1717239600,3,185.25,0.24,2.29,104.43,2.0,3.32,3.84,0.34
1717243200,3,185.25,0.3,2.08,107.29,1.88,3.5,4.06,0.3
1717246800,3,185.25,0.44,2.61,107.29,2.47,3.94,4.6,0.33
1717250400,3,188.59,0.61,3.64,104.43,3.16,4.34,5.18,0.37
1717254000,3,190.26,0.76,4.8,103.0,3.46,4.63,5.63,0.38
1717257600,2,193.6,0.78,6.43,97.27,3.87,4.91,6.04,0.43
1717261200,2,195.26,0.57,8.05,87.26,4.41,5.03,6.29,0.51
1717264800,2,196.93,0.23,9.34,77.96,4.89,5.04,6.31,0.6
1717268400,2,195.26,0.05,9.08,72.24,4.77,5.0,6.2,0.64
1717272000,2,190.26,0.0,7.71,67.95,4.17,4.96,5.97,0.74
1717275600,2,185.25,0.0,6.6,65.8,3.61,5.01,5.81,0.79
1717279200,2,181.91,0.0,5.74,66.52,3.22,5.15,5.78,0.71
1717282800,2,178.58,0.0,5.14,67.23,3.04,5.3,5.85,0.56
1717286400,2,176.91,0.0,4.63,65.09,2.89,5.27,5.74,0.45
1717290000,2,175.24,0.0,4.63,61.51,3.07,5.08,5.53,0.42
1717293600,1,175.24,0.0,5.01,57.94,3.58,4.8,5.25,0.44
1717297200,1,175.24,0.0,5.57,57.94,4.11,4.59,5.06,0.49
1717300800,2,178.58,0.04,5.83,63.66,4.17,4.37,4.79,0.48
1717304400,2,183.58,0.15,6.6,65.8,4.41,4.24,4.65,0.52
1717308000,2,188.59,0.42,7.54,63.66,4.77,4.11,4.56,0.59
1717311600,2,188.59,0.84,7.28,64.37,5.07,3.85,4.33,0.69
1717315200,2,186.92,0.94,6.43,68.66,5.25,3.52,4.01,0.82
1717318800,2,186.92,0.85,5.27,77.96,4.89,3.35,3.83,0.82
1717322400,2,183.58,0.21,2.87,90.12,2.5,2.31,2.58,0.44
1717326000,2,181.91,0.24,2.23,91.55,2.09,1.44,1.68,0.37
1717329600,2,180.24,0.31,2.01,92.98,2.0,1.27,1.53,0.38
1717333200,2,180.24,0.33,1.95,95.84,2.09,1.45,1.81,0.41
1717336800,2,180.24,0.32,1.99,98.71,2.06,1.72,2.18,0.4
1717340400,2,180.24,0.32,2.12,98.71,2.0,1.77,2.2,0.38
1717344000,2,181.91,0.39,2.96,95.84,2.59,1.72,2.13,0.44
1717347600,2,185.25,0.47,4.63,89.41,3.81,1.61,2.09,0.62
1717351200,2,188.59,0.34,6.25,82.97,4.83,1.45,2.0,0.78
1717354800,2,205.28,0.18,10.28,63.66,5.54,1.53,2.22,1.04
1717358400,1,236.99,0.02,16.28,38.98,6.62,1.95,2.93,1.41
1717362000,1,277.04,0.08,22.96,21.46,8.23,2.69,4.11,1.36
1717365600,1,297.07,0.28,27.42,11.18,9.3,3.67,5.57,1.17
1717369200,1,290.39,0.53,26.73,7.33,8.94,4.16,6.42,0.91
1717372800,1,263.69,0.55,22.96,6.62,7.75,3.88,6.43,0.68
1717376400,1,223.64,0.34,16.62,9.66,6.2,2.98,5.8,0.57
1717380000,1,195.26,0.15,12.0,14.31,5.66,2.19,4.82,0.53
1717383600,1,185.25,0.3,10.37,15.56,6.02,1.98,4.17,0.48
1717387200,1,186.92,1.51,9.68,18.78,6.97,2.17,4.24,0.51
1717390800,1,208.62,3.63,10.71,23.25,8.58,2.51,4.82,0.85
1717394400,1,230.31,5.92,12.85,29.33,11.09,2.8,5.52,1.33
1717398000,2,196.93,1.3,7.2,73.67,7.75,1.53,2.84,0.82
1717401600,2,188.59,0.85,4.93,80.82,5.78,1.05,1.87,0.61
1717405200,2,186.92,0.77,4.46,81.54,5.48,0.96,1.73,0.58
1717408800,2,185.25,0.64,4.11,82.25,5.07,0.88,1.57,0.55
1717412400,2,183.58,0.49,4.03,82.25,4.53,0.86,1.45,0.52
1717416000,2,185.25,0.38,4.33,82.97,4.47,0.96,1.46,0.49
1717419600,2,185.25,0.32,4.41,82.25,4.17,0.86,1.3,0.46
1717423200,2,185.25,0.29,4.24,81.54,3.7,0.58,0.97,0.44
1717426800,2,186.92,0.23,4.11,85.12,3.28,0.5,0.86,0.44
1717430400,2,190.26,0.16,5.27,85.12,4.11,0.5,1.02,0.55
1717434000,2,195.26,0.09,6.51,82.25,5.25,0.5,1.38,0.73
1717437600,2,196.93,0.03,7.03,77.96,5.6,0.64,1.75,0.84
1717441200,2,200.27,0.02,7.2,78.68,5.84,0.92,2.34,0.93
1717444800,2,196.93,0.0,6.08,84.4,5.25,1.17,3.0,0.89
1717448400,2,191.93,0.0,5.18,85.12,4.65,1.49,3.34,0.8
1717452000,2,185.25,0.0,4.5,79.39,4.05,1.24,2.42,0.7
1717455600,2,183.58,0.0,4.37,70.1,3.99,1.06,2.08,0.67
1717459200,2,181.91,0.0,4.46,66.52,4.11,1.23,2.42,0.63
1717462800,2,181.91,0.0,4.46,67.95,4.17,1.38,2.84,0.61
1717466400,2,183.58,0.0,4.37,69.38,4.11,1.33,3.02,0.63
1717470000,2,186.92,0.02,4.37,68.66,4.11,1.16,2.92,0.7
1717473600,2,186.92,0.2,4.33,67.23,4.29,1.01,2.72,0.8
1717477200,2,188.59,0.57,4.41,65.09,4.41,0.92,2.46,0.92
1717480800,2,190.26,0.95,4.28,64.37,4.17,0.82,2.07,0.87
1717484400,2,188.59,1.03,3.81,68.66,3.87,0.78,1.82,0.71
1717488000,2,186.92,1.01,3.47,75.1,3.93,0.81,1.81,0.64
1717491600,2,186.92,0.89,3.21,83.68,3.93,0.8,1.73,0.59
1717495200,2,185.25,0.8,3.04,91.55,3.93,0.79,1.65,0.54
1717498800,2,185.25,0.75,2.96,94.41,3.99,0.82,1.66,0.53
1717502400,2,185.25,0.79,3.08,92.98,4.29,0.86,1.72,0.56
1717506000,2,185.25,0.81,3.26,92.98,4.53,0.95,1.88,0.59
1717509600,2,185.25,0.8,3.43,91.55,4.53,1.01,2.01,0.63
1717513200,2,185.25,0.78,3.81,91.55,4.47,0.93,1.96,0.66
1717516800,2,185.25,0.74,4.2,90.12,4.47,0.85,1.95,0.67
1717520400,2,186.92,0.64,4.5,87.26,4.59,0.88,2.23,0.67
1717524000,2,186.92,0.43,4.8,82.97,4.59,0.94,2.49,0.68
1717527600,2,196.93,0.11,9.17,74.39,8.23,1.26,3.41,1.03
1717531200,2,206.95,0.01,11.48,67.95,10.37,1.85,4.71,1.25
1717534800,2,205.28,0.0,11.31,66.52,10.01,2.63,5.93,1.22
1717538400,2,200.27,0.0,10.45,65.09,9.42,3.02,6.32,1.09
1717542000,2,198.6,0.0,10.88,62.94,10.01,2.86,5.76,1.09
1717545600,2,198.6,0.0,11.14,62.23,10.13,2.73,5.28,1.06
1717549200,2,198.6,0.0,10.37,63.66,9.78,2.95,5.43,1.01
1717552800,2,201.94,0.0,10.97,61.51,10.25,2.91,5.26,0.97
1717556400,1,203.61,0.04,11.48,57.22,10.61,2.24,4.26,0.93
1717560000,1,205.28,0.68,10.97,54.36,10.97,1.64,3.47,1.0
1717563600,1,211.95,1.87,11.48,52.21,12.52,1.53,3.45,1.33
1717567200,1,213.62,3.05,11.48,54.36,13.23,1.71,3.69,1.54
1717570800,2,193.6,1.31,6.34,64.37,6.74,0.95,1.92,0.91
1717574400,2,185.25,1.01,4.16,67.23,5.19,1.1,1.84,1.03
1717578000,2,181.91,0.95,3.51,69.38,4.77,1.95,3.0,1.42
1717581600,2,180.24,0.78,3.17,72.24,4.23,1.56,2.41,1.09
1717585200,2,181.91,0.48,3.21,80.82,3.73,1.11,1.74,0.73
1717588800,2,181.91,0.27,3.47,82.25,3.55,1.23,1.83,0.78
1717592400,2,185.25,0.16,4.03,82.25,3.78,1.71,2.29,0.82
1717596000,2,188.59,0.17,4.63,82.25,4.05,2.18,2.78,0.73
1717599600,2,193.6,0.14,5.27,80.82,3.99,2.17,2.71,0.66
1717603200,2,195.26,0.21,5.06,79.39,3.67,2.64,3.19,0.56
1717606800,2,195.26,0.32,4.58,78.68,3.61,2.95,3.53,0.51
1717610400,2,193.6,0.25,4.41,78.68,3.67,2.2,2.82,0.51
1717614000,2,190.26,0.1,4.76,77.96,4.11,1.52,2.25,0.59
1717617600,2,188.59,0.0,4.8,77.25,4.23,1.02,1.91,0.65
1717621200,2,186.92,0.0,4.41,77.25,3.99,0.67,1.67,0.64
1717624800,2,186.92,0.0,3.94,77.96,3.61,0.52,1.63,0.57
1717628400,2,188.59,0.0,3.64,80.82,3.55,0.5,1.63,0.5
1717632000,2,190.26,0.0,3.34,80.82,3.31,0.5,1.47,0.44
1717635600,2,191.93,0.0,3.21,78.68,3.07,0.5,1.32,0.4
1717639200,2,191.93,0.0,3.43,76.53,3.31,0.5,1.39,0.43
1717642800,2,190.26,0.01,3.81,73.67,3.67,0.5,1.51,0.49
1717646400,2,190.26,0.06,4.2,70.81,3.99,0.5,1.61,0.55
1717650000,2,191.93,0.28,4.24,69.38,4.05,0.5,1.62,0.59
1717653600,2,191.93,0.68,3.94,69.38,3.87,0.5,1.55,0.6
1717657200,2,191.93,0.84,3.34,72.24,3.55,0.5,1.34,0.59
1717660800,2,191.93,0.79,3.0,75.1,3.4,0.5,1.17,0.57
1717664400,2,190.26,0.74,2.74,77.25,3.25,0.5,1.07,0.55
1717668000,2,188.59,0.67,2.53,80.11,3.07,0.5,1.02,0.52
1717671600,2,185.25,0.59,2.38,85.12,2.8,0.5,0.97,0.49
1717675200,2,185.25,0.55,2.36,85.12,2.68,0.5,0.92,0.46
1717678800,2,185.25,0.51,2.44,81.54,2.65,0.5,0.88,0.43
1717682400,2,188.59,0.53,2.68,80.82,2.77,0.5,0.87,0.42
1717686000,2,190.26,0.55,3.04,82.97,2.89,0.5,0.88,0.43
1717689600,2,190.26,0.53,3.51,85.12,3.16,0.5,0.94,0.46
1717693200,2,191.93,0.43,4.07,85.12,3.55,0.5,1.07,0.51
1717696800,2,191.93,0.24,4.5,84.4,3.76,0.5,1.15,0.55
1717700400,2,196.93,0.1,6.51,79.39,5.54,0.5,1.45,0.74
1717704000,2,198.6,0.0,6.94,75.82,6.14,0.5,1.66,0.82
1717707600,2,196.93,0.0,6.25,75.1,5.42,0.5,1.54,0.78
1717711200,2,191.93,0.0,5.36,73.67,4.65,0.5,1.33,0.68
1717714800,2,190.26,0.0,4.93,70.1,4.41,0.5,1.24,0.63
1717718400,2,190.26,0.0,4.63,66.52,4.11,0.5,1.21,0.59
1717722000,2,188.59,0.0,4.2,65.8,3.7,0.5,1.16,0.55
1717725600,2,190.26,0.0,4.2,65.8,3.7,0.5,1.16,0.52
1717729200,2,190.26,0.02,4.16,67.95,3.7,0.5,1.17,0.46
1717732800,2,190.26,0.17,4.03,68.66,3.67,0.5,1.18,0.43
1717736400,2,191.93,0.43,3.86,70.1,3.61,0.5,1.19,0.45
1717740000,2,191.93,0.65,3.64,70.81,3.31,0.5,1.14,0.44
1717743600,2,191.93,0.73,3.21,72.24,3.1,0.5,1.03,0.4
1717747200,2,191.93,0.76,2.91,72.96,3.13,0.5,0.97,0.38
1717750800,2,190.26,0.77,2.72,72.24,3.16,0.5,0.95,0.37
1717754400,2,190.26,0.76,2.51,72.24,3.1,0.5,0.94,0.36
1717758000,2,190.26,0.73,2.29,72.96,2.89,0.5,0.92,0.34
1717761600,2,190.26,0.73,2.27,74.39,2.89,0.5,0.92,0.34
1717765200,2,188.59,0.66,2.36,77.25,2.86,0.5,0.92,0.34
1717768800,2,186.92,0.5,2.7,78.68,2.83,0.5,0.91,0.36
1717772400,2,186.92,0.32,3.21,80.11,2.83,0.5,0.9,0.37
1717776000,2,186.92,0.19,4.03,80.11,3.19,0.5,0.94,0.43
1717779600,2,190.26,0.15,4.84,80.11,3.81,0.5,1.07,0.51
1717783200,2,193.6,0.07,5.44,79.39,4.23,0.5,1.16,0.58
1717786800,1,203.61,0.03,8.14,72.96,6.32,0.5,1.48,0.82
1717790400,2,213.62,0.0,10.37,65.8,7.57,0.5,1.95,1.01
1717794000,1,213.62,0.0,11.31,59.37,7.51,0.51,2.25,1.01
1717797600,1,208.62,0.0,11.31,53.64,6.79,0.55,2.35,0.82
1717801200,1,198.6,0.0,9.68,49.35,5.36,0.51,2.16,0.62
1717804800,1,191.93,0.0,8.4,45.78,4.77,0.5,2.02,0.52
1717808400,1,186.92,0.0,7.88,43.63,4.77,0.5,1.93,0.49
1717812000,1,185.25,0.0,7.45,43.99,4.83,0.5,1.87,0.46
1717815600,1,185.25,0.05,7.28,45.78,5.3,0.5,1.89,0.47
1717819200,1,188.59,0.5,7.54,47.21,6.56,0.5,2.05,0.59
1717822800,1,193.6,1.48,8.05,45.78,7.99,0.56,2.32,0.84
1717826400,1,200.27,2.68,8.57,46.49,9.66,0.67,2.71,1.12
1717830000,2,188.59,1.06,4.63,74.39,4.95,0.5,1.38,0.66
1717833600,2,186.92,0.59,3.73,83.68,3.87,0.5,1.03,0.54
1717837200,2,185.25,0.37,3.77,85.83,3.7,0.5,0.96,0.53
1717840800,2,185.25,0.32,3.64,85.83,3.61,0.5,0.9,0.49
1717844400,2,186.92,0.42,3.47,85.83,3.49,0.5,0.85,0.45
1717848000,2,186.92,0.5,3.47,85.12,3.55,0.5,0.83,0.43
1717851600,2,188.59,0.47,3.47,82.25,3.49,0.5,0.84,0.41
1717855200,2,186.92,0.35,3.51,80.11,3.31,0.5,0.83,0.41
1717858800,2,185.25,0.22,3.64,78.68,3.13,0.5,0.81,0.42
1717862400,2,185.25,0.16,4.03,77.25,3.28,0.5,0.83,0.46
1717866000,2,186.92,0.1,4.76,75.82,3.87,0.5,0.92,0.54
1717869600,2,186.92,0.05,5.18,77.96,4.23,0.5,0.97,0.62
1717873200,2,190.26,0.01,6.6,79.39,5.48,0.68,1.31,0.8
1717876800,2,191.93,0.0,6.85,80.11,5.84,0.75,1.47,0.78
1717880400,2,190.26,0.0,6.34,79.39,5.25,0.7,1.34,0.57
1717884000,2,188.59,0.0,5.74,80.11,4.47,0.71,1.19,0.39
1717887600,2,188.59,0.0,5.01,83.68,3.99,0.79,1.17,0.34
1717891200,2,186.92,0.0,4.37,87.98,3.67,0.73,1.05,0.33
1717894800,2,188.59,0.0,4.33,92.98,3.64,0.8,1.09,0.3
1717898400,2,186.92,0.0,4.58,83.68,3.67,0.81,1.12,0.27
1717902000,2,183.58,0.0,3.9,67.95,2.92,0.72,1.06,0.23
1717905600,2,181.91,0.03,3.6,60.08,2.56,0.5,0.84,0.21
1717909200,2,181.91,0.15,3.38,61.51,2.53,0.5,0.86,0.23
1717912800,1,185.25,0.37,3.0,59.37,2.32,0.5,0.85,0.24
1717916400,2,186.92,0.47,2.25,60.08,1.94,0.5,0.78,0.23
1717920000,2,185.25,0.55,1.93,60.8,1.94,0.5,0.78,0.24
1717923600,2,185.25,0.57,1.74,63.66,1.94,0.5,0.77,0.23
1717927200,2,185.25,0.51,1.67,66.52,1.85,0.5,0.75,0.23
1717930800,2,183.58,0.39,1.74,66.52,1.7,0.5,0.71,0.23
1717934400,2,185.25,0.27,1.95,64.37,1.68,0.5,0.7,0.22
1717938000,2,185.25,0.22,2.06,62.23,1.73,0.5,0.69,0.21
1717941600,2,185.25,0.27,2.16,61.51,1.86,0.5,0.7,0.23
1717945200,2,185.25,0.32,2.36,62.23,2.0,0.5,0.7,0.25
1717948800,2,186.92,0.32,2.72,63.66,2.21,0.5,0.72,0.29
1717952400,2,188.59,0.18,3.04,62.94,2.32,0.5,0.75,0.32
1717956000,2,188.59,0.07,3.17,60.8,2.29,0.5,0.77,0.34
1717959600,1,188.59,0.02,3.26,59.37,2.41,0.5,0.83,0.4
1717963200,1,188.59,0.0,3.38,58.65,2.44,0.5,0.89,0.45
1717966800,1,188.59,0.0,3.38,59.37,2.41,0.5,0.9,0.46
1717970400,2,185.25,0.0,3.34,60.08,2.32,0.5,0.89,0.44
1717974000,1,186.92,0.0,4.07,59.37,3.07,0.5,0.96,0.46
1717977600,1,185.25,0.0,4.33,58.65,3.34,0.5,1.03,0.46
1717981200,1,185.25,0.0,4.46,58.65,3.52,0.5,1.09,0.46
1717984800,1,183.58,0.0,4.63,57.94,3.7,0.5,1.15,0.47
1717988400,1,185.25,0.03,4.84,57.22,3.93,0.5,1.2,0.48
1717992000,1,186.92,0.22,4.84,57.22,4.23,0.5,1.25,0.5
1717995600,1,188.59,0.51,4.63,58.65,4.17,0.5,1.26,0.55
1717999200,2,188.59,0.75,4.37,60.08,3.99,0.5,1.23,0.59
1718002800,2,186.92,0.73,3.94,62.23,3.64,0.5,1.07,0.53
1718006400,2,186.92,0.61,3.86,62.94,3.67,0.5,0.98,0.49
1718010000,2,185.25,0.43,3.81,62.23,3.61,0.5,0.93,0.45
1718013600,2,183.58,0.37,3.64,62.23,3.52,0.5,0.88,0.4
1718017200,2,183.58,0.42,3.6,62.94,3.46,0.5,0.87,0.37
1718020800,2,185.25,0.46,3.86,63.66,3.61,0.5,0.88,0.38
1718024400,2,183.58,0.43,3.81,64.37,3.55,0.5,0.85,0.34
1718028000,2,181.91,0.34,3.56,65.09,3.04,0.5,0.82,0.3
1718031600,2,181.91,0.26,3.38,65.09,2.59,0.5,0.79,0.28
1718035200,2,181.91,0.19,3.56,65.09,2.41,0.5,0.78,0.28
1718038800,2,180.24,0.11,3.81,65.09,2.53,0.5,0.82,0.29
1718042400,2,180.24,0.05,3.73,63.66,2.56,0.5,0.85,0.28
1718046000,2,180.24,0.04,3.51,61.51,2.62,0.5,0.88,0.27
1718049600,1,178.58,0.0,3.43,59.37,2.56,0.5,0.91,0.25
1718053200,1,178.58,0.0,3.38,57.94,2.47,0.5,0.93,0.24
1718056800,1,180.24,0.0,5.01,50.78,3.64,0.5,1.18,0.29
1718060400,1,180.24,0.01,5.57,41.84,3.93,0.5,1.43,0.29
1718064000,1,178.58,0.01,5.91,35.41,4.11,0.56,1.65,0.3
1718067600,1,176.91,0.02,6.34,30.76,4.53,0.59,1.84,0.32
1718071200,1,176.91,0.03,6.77,27.89,5.07,0.62,2.04,0.35
1718074800,1,178.58,0.14,7.2,26.11,5.84,0.67,2.24,0.41
1718078400,1,181.91,0.91,7.45,26.11,7.21,0.75,2.5,0.49
1718082000,1,191.93,2.57,7.97,26.46,9.18,0.9,2.92,0.63
1718085600,1,203.61,4.64,9.08,28.97,11.92,1.17,3.57,0.92
1718089200,1,190.26,2.04,6.0,49.35,6.91,0.69,1.86,0.62
1718092800,1,185.25,1.17,5.01,54.36,5.54,0.52,1.29,0.54
1718096400,1,183.58,0.68,5.4,55.79,5.48,0.5,1.2,0.55
1718100000,1,181.91,0.39,5.65,56.51,5.48,0.5,1.13,0.53
1718103600,1,183.58,0.47,5.57,59.37,5.54,0.5,1.08,0.53
1718107200,2,185.25,0.49,6.0,62.23,5.9,0.53,1.07,0.54
1718110800,2,186.92,0.5,6.17,63.66,6.02,0.61,1.14,0.54
1718114400,2,186.92,0.53,6.17,64.37,6.02,0.67,1.22,0.55
1718118000,2,188.59,0.59,6.51,63.66,5.96,0.73,1.3,0.55
1718121600,1,211.95,1.48,13.71,46.49,8.82,1.22,2.13,0.8
1718125200,1,257.02,2.46,22.28,25.39,11.68,2.09,3.52,0.83
1718128800,1,297.07,2.74,28.1,12.16,13.59,3.03,4.94,0.77
1718132400,1,330.45,3.91,31.87,4.74,14.54,4.16,6.61,0.78
1718136000,1,357.15,6.71,31.87,0.57,13.59,5.33,8.31,0.67
1718139600,1,373.84,10.95,28.45,0.04,11.92,6.4,9.76,0.56
1718143200,1,370.5,13.08,25.36,0.03,10.37,7.1,10.57,0.53
1718146800,1,340.46,10.17,23.31,0.11,9.06,7.13,10.27,0.58
1718150400,1,277.04,4.41,19.71,0.79,7.27,5.84,7.99,0.63
1718154000,1,213.62,1.13,13.88,3.53,5.78,3.8,5.08,0.63
1718157600,1,186.92,0.8,10.71,4.47,5.72,2.75,3.67,0.53
1718161200,1,181.91,1.08,10.88,3.93,6.74,2.49,3.38,0.51
1718164800,1,183.58,2.43,11.48,4.02,8.23,2.57,3.65,0.53
1718168400,1,198.6,6.71,10.97,5.99,10.97,2.91,4.41,0.65
1718172000,1,226.97,12.85,12.34,9.21,16.93,3.67,5.86,1.04
1718175600,1,206.95,3.69,11.48,45.06,11.44,2.35,3.55,0.85
1718179200,1,198.6,2.12,8.48,53.64,8.7,1.54,2.38,0.73
1718182800,1,195.26,1.61,7.54,57.22,7.99,1.27,2.03,0.71
1718186400,2,195.26,1.47,7.28,60.08,8.23,1.17,1.93,0.72
1718190000,2,200.27,1.69,8.4,62.94,9.66,1.37,2.22,0.81
1718193600,2,206.95,2.04,10.45,64.37,11.44,1.78,2.8,0.89
1718197200,2,210.29,1.98,12.51,65.09,12.76,2.2,3.38,0.89
1718200800,2,211.95,1.51,13.88,64.37,12.99,2.56,3.83,0.83
1718204400,2,210.29,0.84,13.71,64.37,11.8,2.9,4.15,0.71
1718208000,1,223.64,0.82,18.85,51.5,13.47,3.62,5.13,0.85
1718211600,1,247.0,1.13,24.33,35.76,14.31,4.53,6.38,0.82
1718215200,1,267.03,1.15,26.73,25.75,14.19,5.27,7.37,0.69
1718218800,1,267.03,0.84,26.39,22.89,13.11,5.76,8.27,0.63
1718222400,1,253.68,0.11,23.65,26.82,11.68,5.43,8.26,0.53
1718226000,1,236.99,0.02,19.71,31.83,10.49,4.74,7.75,0.46
1718229600,1,216.96,0.01,15.77,35.41,9.42,4.6,7.67,0.43
1718233200,1,201.94,0.01,13.54,37.91,8.7,4.44,7.1,0.42
1718236800,1,198.6,0.0,12.51,41.13,8.58,3.77,5.88,0.42
1718240400,1,201.94,0.0,12.51,42.92,9.42,3.18,5.13,0.47
1718244000,1,206.95,0.01,13.71,40.41,10.73,2.96,5.06,0.51
1718247600,1,211.95,0.07,15.77,35.05,12.04,2.97,5.21,0.56
1718251200,1,216.96,0.24,18.68,27.54,13.95,3.03,5.47,0.64
1718254800,1,230.31,0.96,22.28,18.24,16.69,3.2,6.11,0.82
1718258400,1,230.31,1.93,20.22,13.41,15.97,2.8,6.18,1.0
1718262000,1,193.6,0.44,8.91,42.2,6.62,0.95,2.17,0.55
1718265600,1,188.59,0.39,6.25,54.36,4.95,0.51,1.09,0.42
1718269200,2,188.59,0.45,5.48,60.08,4.77,0.5,1.02,0.41
1718272800,2,188.59,0.62,4.88,63.66,4.59,0.5,1.04,0.47
1718276400,2,188.59,0.83,4.63,65.8,4.83,0.5,1.07,0.55
1718280000,2,190.26,1.02,4.63,67.23,5.3,0.5,1.08,0.59
1718283600,2,188.59,0.98,4.5,67.23,5.3,0.5,1.07,0.57
1718287200,2,185.25,0.69,4.24,65.8,4.59,0.5,1.02,0.5
1718290800,2,185.25,0.44,4.24,64.37,3.87,0.5,0.95,0.46
1718294400,2,185.25,0.29,4.54,62.94,3.76,0.5,0.93,0.45
1718298000,2,188.59,0.2,5.18,60.8,4.17,0.5,1.01,0.5
1718301600,1,191.93,0.11,5.65,58.65,4.47,0.5,1.08,0.54
1718305200,1,208.62,0.06,10.88,50.07,8.82,0.57,1.67,0.93
1718308800,1,223.64,0.02,14.74,40.41,11.44,0.87,2.65,1.11
1718312400,1,226.97,0.02,15.42,34.33,11.09,1.01,3.26,0.92
1718316000,1,216.96,0.02,14.74,31.11,9.66,1.02,3.13,0.65
1718319600,1,208.62,0.02,12.85,30.04,8.11,0.96,2.69,0.49
1718323200,1,203.61,0.02,10.97,30.04,7.09,0.87,2.41,0.44
1718326800,1,196.93,0.02,9.0,30.76,6.38,0.71,2.18,0.42
1718330400,1,188.59,0.02,8.14,31.83,6.32,0.63,2.11,0.44
1718334000,1,186.92,0.11,8.14,32.54,6.68,0.65,2.22,0.48
1718337600,1,188.59,0.66,8.23,34.69,7.39,0.74,2.52,0.56
1718341200,1,191.93,1.59,8.05,37.19,8.23,0.83,2.84,0.76
1718344800,1,195.26,2.4,7.71,40.77,8.7,0.87,3.0,0.95
1718348400,2,186.92,1.1,4.24,60.8,4.41,0.55,1.52,0.52
1718352000,2,185.25,0.85,3.73,67.23,3.93,0.5,1.17,0.44
1718355600,2,183.58,0.74,3.73,70.1,3.99,0.5,1.13,0.44
1718359200,2,186.92,0.82,4.58,70.81,5.07,0.5,1.19,0.53
1718362800,2,190.26,0.99,5.48,69.38,6.08,0.58,1.31,0.63
1718366400,2,193.6,1.09,6.25,66.52,6.68,0.66,1.39,0.65
1718370000,2,191.93,1.12,6.0,65.09,6.56,0.65,1.4,0.65
1718373600,2,186.92,1.05,5.23,65.8,5.84,0.55,1.23,0.65
1718377200,2,183.58,0.88,4.37,67.23,4.59,0.5,1.07,0.59
1718380800,2,181.91,0.71,3.94,67.23,3.73,0.5,1.0,0.55
1718384400,2,186.92,0.74,5.27,65.09,4.71,0.5,1.14,0.67
1718388000,2,191.93,0.56,6.77,62.23,5.78,0.5,1.26,0.77
1718391600,1,208.62,0.37,11.82,52.93,9.54,0.75,1.89,1.08
1718395200,1,223.64,0.05,15.59,43.63,11.92,1.17,2.89,1.14
1718398800,1,220.3,0.01,14.91,40.77,10.73,1.34,3.36,0.82
1718402400,1,208.62,0.01,13.37,40.77,8.82,1.37,3.31,0.54
1718406000,1,198.6,0.0,11.14,41.48,7.09,1.35,3.02,0.39
1718409600,1,193.6,0.0,9.85,41.84,6.26,1.32,2.8,0.33
1718413200,1,193.6,0.0,9.6,39.7,6.2,1.34,2.83,0.31
1718416800,1,195.26,0.01,10.02,35.41,6.38,1.41,3.02,0.31
1718420400,1,196.93,0.16,10.88,31.11,6.91,1.55,3.28,0.34
1718424000,1,203.61,1.38,11.31,28.97,7.99,1.77,3.65,0.39
1718427600,1,216.96,3.74,12.34,28.97,10.01,2.14,4.23,0.59
1718431200,1,236.99,6.59,15.08,32.54,14.19,2.7,5.1,1.04
1718434800,2,203.61,1.79,8.83,79.39,8.7,1.6,2.7,0.85
1718438400,2,193.6,0.73,5.83,90.84,5.84,1.21,1.83,0.66
1718442000,2,190.26,0.31,5.48,92.98,5.42,1.08,1.63,0.66
1718445600,2,186.92,0.31,5.06,92.98,5.13,0.97,1.44,0.66
1718449200,2,185.25,0.56,4.16,95.84,4.59,0.99,1.42,0.63
1718452800,2,181.91,0.68,3.51,98.71,4.23,1.17,1.59,0.61
1718456400,3,181.91,0.7,3.3,101.57,4.17,1.38,1.81,0.62
1718460000,3,178.58,0.61,3.17,101.57,3.67,1.33,1.76,0.58
1718463600,2,176.91,0.56,3.0,95.84,3.04,1.18,1.58,0.52
1718467200,2,178.58,0.67,3.98,88.69,3.78,1.52,2.07,0.57
1718470800,2,180.24,0.49,4.84,85.12,4.11,1.78,2.55,0.57
1718474400,2,180.24,0.18,4.97,82.97,3.78,1.59,2.37,0.52
1718478000,2,178.58,0.01,4.5,84.4,3.22,1.57,2.25,0.47
1718481600,2,176.91,0.0,4.03,85.12,2.77,1.69,2.21,0.43
